"ppt_id","bet_no","bet_time","old_bonus","total_amt_bet","win","new_bonus","average_odds","total_numbers_bet","no_tokens"
"P0719",9,"13:02:13",3.4,-1,2,4.4,1.03,18,1
"P0228",3,"13:02:19",2.9,-0.1,0,2.8,1.03,18,1
"P0842",1,"13:02:24",4,-0.1,0,3.9,1.03,18,1
"P0353",1,"13:02:24",4,-1,0,3,1.03,18,1
"P1001",2,"13:02:25",6,-2,4,8,1.03,18,2
"P0228",4,"13:02:29",2.8,-0.1,0.2,2.9,1.03,18,1
"P0866",4,"13:02:30",5,-0.5,1,5.5,1.03,18,1
"P0275",1,"13:02:33",4,-1,2,5,1.03,18,1
"P0228",5,"13:02:50",2.9,-0.5,1,3.4,1.03,18,1
"P0228",6,"13:03:01",3.4,-0.5,0,2.9,1.03,18,1
"P0702",1,"13:03:06",4,-0.1,0.2,4.1,1.03,18,1
"P0789",1,"13:03:08",4,-0.2,0,3.8,17.03,2,2
"P0355",2,"13:03:13",3,-2,3,4,0.53,24,2
"P0719",10,"13:03:21",4.4,-0.2,0.4,4.6,1.03,18,2
"P0792",1,"13:03:25",4,-1,2,5,1.03,18,1
"P1001",3,"13:03:29",8,-2,5,11,0.78,24,2
"P0842",2,"13:03:32",3.9,-0.1,0,3.8,1.03,18,1
"P0719",11,"13:03:34",4.6,-0.2,0,4.4,1.03,18,1
"P0866",5,"13:03:36",5.5,-0.5,1,6,1.03,18,1
"P0792",2,"13:03:37",5,-1,0,4,1.03,18,1
"P0719",12,"13:03:44",4.4,-0.4,0.8,4.8,1.03,18,2
"P0789",2,"13:03:49",3.8,-0.3,0,3.5,11.03,3,3
"P0440",1,"13:06:03",4,-0.4,0,3.6,8.03,4,4
"P0792",3,"13:03:49",4,-1,0,3,1.03,18,1
"P0719",13,"13:03:58",4.8,-0.2,0.4,5,1.03,18,1
"P0792",4,"13:04:00",3,-1,0,2,1.03,18,1
"P0440",2,"13:06:18",3.6,-0.4,0,3.2,8.03,4,4
"P0702",2,"13:04:11",4.1,-1.1,1,4,0.89,27,3
"P0789",3,"13:04:15",3.5,-0.3,0,3.2,11.03,3,3
"P0440",3,"13:06:40",3.2,-0.4,0,2.8,8.03,4,4
"P0719",14,"13:04:31",5,-0.2,0,4.8,1.03,18,1
"P1001",4,"13:04:33",11,-2,0,9,0.78,24,2
"P0344",1,"13:04:33",4,-1,0.8,3.8,0.11,36,5
"P0842",3,"13:04:40",3.8,-0.1,0.2,3.9,1.03,18,1
"P0440",4,"13:06:52",2.8,-0.4,0,2.4,8.03,4,4
"P0719",15,"13:04:41",4.8,-0.5,0,4.3,1.03,18,1
"P0789",4,"13:04:49",3.2,-0.2,0,3,17.03,2,2
"P0440",5,"13:07:05",2.4,-0.4,3.6,5.6,8.03,4,4
"P0719",16,"13:04:57",4.3,-1.5,0,2.8,1.03,18,2
"P0344",2,"13:04:58",3.8,-0.8,0.8,3.8,0.03,36,4
"P0719",17,"13:05:10",2.8,-2,0,0.8,1.03,18,2
"P0344",3,"13:05:18",3.8,-1,0.8,3.6,0.07,36,5
"P0091",1,"13:05:19",4,-2,0,2,1.73,21,6
"P0719",18,"13:05:27",0.8,-0.8,0,0,1.03,18,3
"P0344",4,"13:05:33",3.6,-1.2,1.2,3.6,0.03,36,6
"P1001",5,"13:05:36",9,-2,4,11,1.03,18,2
"P0842",4,"13:05:48",3.9,-0.1,0,3.8,1.03,18,1
"P0702",3,"13:05:51",4,-2,3,5,0.71,24,3
"P0489",1,"13:06:02",4,-0.1,0,3.9,2.03,12,1
"P0344",5,"13:06:05",3.6,-1,1,3.6,0.03,36,5
"P0344",6,"13:06:24",3.6,-0.9,0.9,3.6,0.03,36,9
"P0489",2,"13:06:34",3.9,-0.4,0,3.5,8.78,13,2
"P1001",6,"13:06:43",11,-2,0,9,1.03,18,2
"P0344",7,"13:06:52",3.6,-0.7,0.8,3.7,0.05,36,7
"P0489",3,"13:06:52",3.5,-0.5,1.5,4.5,2.03,12,1
"P0091",2,"13:06:57",2,-2,2,2,0.73,25,11
"P0344",8,"13:07:08",3.7,-0.7,0.8,3.8,0.05,36,7
"P0702",4,"13:07:17",5,-1,0,4,2.03,12,2
"P0344",9,"13:07:21",3.8,-0.7,0.6,3.7,0.05,36,7
"P0344",10,"13:07:41",3.7,-0.9,0.6,3.4,0.14,36,9
"P0489",4,"13:07:50",4.5,-0.5,0,4,2.03,12,1
"P1001",7,"13:07:52",9,-2,0,7,1.03,18,2
"P0344",11,"13:07:55",3.4,-0.8,1,3.6,0.09,36,8
"P0489",5,"13:08:05",4,-0.5,0,3.5,2.03,12,1
"P0344",12,"13:08:08",3.6,-0.9,1.2,3.9,0.14,36,9
"P0344",13,"13:08:21",3.9,-0.8,1,4.1,0.09,36,8
"P0091",3,"13:08:22",2,-2,0,0,0.73,25,11
"P0489",6,"13:08:21",3.5,-0.5,1,4,1.03,18,1
"P0344",14,"13:08:32",4.1,-0.7,0.8,4.2,0.05,36,7
"P0344",15,"13:08:45",4.2,-0.8,1,4.4,0.09,36,8
"P0489",7,"13:08:43",4,-0.5,0,3.5,1.03,18,1
"P1001",8,"13:08:59",7,-2,0,5,1.84,14,4
"P0344",16,"13:08:59",4.4,-0.8,1,4.6,0.09,36,8
"P0489",8,"13:09:04",3.5,-0.5,1.5,4.5,2.03,12,1
"P0344",17,"13:09:14",4.6,-0.8,1,4.8,0.09,36,8
"P0842",5,"13:09:30",3.8,-0.4,0,3.4,0.28,32,4
"P0344",18,"13:09:26",4.8,-0.9,0.6,4.5,0.14,36,9
"P0489",9,"13:09:26",4.5,-0.5,18,22,35.03,1,1
"P0344",19,"13:09:38",4.5,-0.8,0.6,4.3,0.09,36,8
"P0344",20,"13:09:50",4.3,-1,0.6,3.9,0.19,36,10
"P0344",21,"13:10:02",3.9,-0.9,0.6,3.6,0.14,36,9
"P1001",9,"13:10:06",5,-2,4,7,1.03,18,4
"P0344",22,"13:10:26",3.6,-1,0.8,3.4,0.07,36,10
"P0842",6,"13:10:38",3.4,-0.4,0.3,3.3,0.28,32,4
"P0344",23,"13:10:50",3.4,-0.9,1.2,3.7,0.14,36,9
"P0344",24,"13:11:02",3.7,-0.8,0.6,3.5,0.09,36,8
"P0344",25,"13:11:14",3.5,-0.9,1.2,3.8,0.14,36,9
"P0344",26,"13:11:26",3.8,-0.9,1.2,4.1,0.14,36,9
"P0344",27,"13:11:40",4.1,-1,1.4,4.5,0.19,36,10
"P0344",28,"13:11:52",4.5,-0.9,1.2,4.8,0.14,36,9
"P0702",5,"13:12:15",4,-2,0,2,2.03,12,2
"P0842",7,"13:12:26",3.3,-0.2,0.3,3.4,0.53,24,2
"P0702",6,"13:13:58",2,-2,2,2,0.78,24,2
"P0702",7,"13:15:02",2,-2,0,0,0.78,24,2
"P0842",8,"13:18:05",3.4,-0.1,0,3.3,1.03,18,1
"P0585",1,"13:18:37",4,-1,2,5,1.03,18,1
"P0842",9,"13:20:21",3.3,-0.2,0.4,3.5,1.03,18,2
"P0842",10,"13:22:47",3.5,-0.1,0,3.4,1.03,18,1
"P0842",11,"13:24:23",3.4,-0.2,0.4,3.6,1.03,18,2
"P0842",12,"13:26:31",3.6,-0.1,0.2,3.7,1.03,18,1
"P0842",13,"13:27:46",3.7,-0.1,0,3.6,1.03,18,1
"P0842",14,"13:28:52",3.6,-0.2,0.4,3.8,1.03,18,2
"P0842",15,"13:30:05",3.8,-0.1,0.2,3.9,1.03,18,1
"P0842",16,"13:31:33",3.9,-0.1,0.2,4,1.03,18,1
"P0842",17,"13:32:56",4,-0.2,0.4,4.2,1.03,18,2
"P0842",18,"13:34:06",4.2,-0.1,0,4.1,1.03,18,1
"P0842",19,"13:35:43",4.1,-0.2,0.4,4.3,1.03,18,2
"P0842",20,"13:37:38",4.3,-0.1,0.2,4.4,1.03,18,1
"P0842",21,"13:38:48",4.4,-0.2,0,4.2,1.03,18,2
"P0842",22,"13:40:08",4.2,-0.4,0.8,4.6,1.03,18,4
"P1063",1,"13:40:11",4,-0.1,0.2,4.1,1.03,18,1
"P0561",1,"13:41:18",4,-0.5,0.9,4.4,0.83,20,5
"P0842",23,"13:41:22",4.6,-0.1,0,4.5,1.03,18,1
"P0022",1,"13:41:41",4,-0.5,1,4.5,1.03,18,1
"P0099",1,"13:41:46",4,-2,0,2,2.63,10,10
"P0022",2,"13:42:02",4.5,-0.5,1,5,1.03,18,1
"P0520",1,"13:42:08",4,-2,0,2,1.03,18,2
"P0022",3,"13:42:19",5,-0.5,0,4.5,1.03,18,1
"P0842",24,"13:42:31",4.5,-0.2,0.4,4.7,1.03,18,2
"P1052",1,"13:42:32",4,-1,2,5,1.03,18,1
"P0022",4,"13:42:34",4.5,-1,2,5.5,1.03,18,1
"P1052",2,"13:42:42",5,-1,0,4,1.03,18,1
"P0561",2,"13:42:44",4.4,-0.4,0.9,4.9,1.28,16,4
"P1084",1,"13:42:43",4,-0.2,0.4,4.2,1.03,18,1
"P0044",1,"13:42:46",4,-0.5,1,4.5,1.03,18,1
"P0099",2,"13:42:48",2,-1.3,0,0.7,1.8,13,13
"P0144",1,"13:42:49",4,-2,2.4,4.4,0.23,30,10
"P0022",5,"13:42:49",5.5,-0.5,1,6,1.03,18,1
"P0362",1,"13:42:45",4,-1.6,0,2.4,0.39,29,16
"P1052",3,"13:42:52",4,-1,2,5,1.03,18,1
"P1052",4,"13:43:03",5,-1,0,4,1.03,18,1
"P0827",1,"13:43:02",4,-0.4,0.8,4.4,1.03,18,4
"P0099",3,"13:43:04",0.7,-0.7,0,0,1.03,18,2
"P0021",1,"13:43:07",4,-1,2,5,1.03,18,1
"P0641",1,"13:43:07",4,-1,2,5,1.03,18,10
"P1052",5,"13:43:14",4,-1,2,5,1.03,18,1
"P0972",1,"13:43:07",4,-1,0,3,1.03,18,1
"P0876",1,"13:43:19",4,-2,0,2,1.03,18,2
"P1052",6,"13:43:23",5,-1,2,6,1.03,18,1
"P0052",1,"13:43:24",4,-0.2,0.2,4,0.47,28,2
"P0960",1,"13:43:24",4,-1,0,3,1.03,18,1
"P0129",1,"13:43:24",4,-0.1,0.2,4.1,1.03,18,1
"P1090",1,"13:43:29",4,-0.1,0.2,4.1,1.03,18,1
"P0049",1,"13:43:30",4,-1.1,3.6,6.5,2.3,11,11
"P0842",25,"13:43:34",4.7,-0.1,0.2,4.8,1.03,18,1
"P1052",7,"13:43:41",6,-2,0,4,1.03,18,2
"P0854",1,"13:43:43",4,-1,0,3,1.03,18,2
"P0642",1,"13:43:48",4,-2,4,6,1.03,18,2
"P1052",8,"13:43:51",4,-1,0,3,1.03,18,1
"P1084",2,"13:43:49",4.2,-0.2,0.4,4.4,1.03,18,1
"P0580",1,"13:43:50",4,-1,0.9,3.9,0.38,30,10
"P0144",2,"13:43:55",4.4,-2,2.4,4.8,0.23,30,10
"P0362",2,"13:43:51",2.4,-1.4,1,2,0.47,29,14
"P0804",1,"13:40:01",4,-2,0,2,0.53,24,2
"P0854",2,"13:43:58",3,-2,4,5,1.03,18,4
"P1052",9,"13:44:05",3,-2,0,1,1.03,18,2
"P0136",1,"13:41:23",4,-0.5,1,4.5,1.03,18,1
"P0827",2,"13:44:06",4.4,-0.5,1,4.9,1.03,18,5
"P1130",1,"13:44:12",4,-2,0,2,5.78,6,2
"P1183",1,"13:44:12",4,-2,4,6,1.03,18,2
"P1052",10,"13:44:15",1,-1,0,0,1.03,18,1
"P0876",2,"13:44:23",2,-2,0,0,1.03,18,2
"P0776",1,"13:44:12",4,-1,1,4,0.53,27,2
"P0972",2,"13:44:13",3,-2,4,5,1.03,18,2
"P0561",3,"13:44:29",4.9,-0.5,0,4.4,1.19,18,5
"P0960",2,"13:44:28",3,-2,4,5,1.03,18,2
"P0052",2,"13:44:28",4,-0.4,0,3.6,0.47,28,2
"P0842",26,"13:44:36",4.8,-0.1,0.2,4.9,1.03,18,1
"P1130",2,"13:44:36",2,-2,0,0,5.78,6,2
"P0776",2,"13:44:30",4,-1,1,4,0.53,27,2
"P0151",1,"13:44:45",4,-0.1,0.2,4.1,1.03,18,1
"P0049",2,"13:44:48",6.5,-1.5,3.9,8.9,2.49,19,15
"P0642",2,"13:44:55",6,-2,4,8,1.03,18,2
"P0144",3,"13:44:58",4.8,-2,2.4,5.2,0.23,30,10
"P1084",3,"13:44:58",4.4,-0.2,0,4.2,1.03,18,1
"P0804",2,"13:41:05",2,-2,3,3,0.53,24,2
"P0151",2,"13:45:03",4.1,-1,0,3.1,1.03,18,1
"P0063",1,"13:45:06",4,-1.2,0.4,3.2,7.14,22,7
"P0136",2,"13:42:26",4.5,-0.5,0,4,1.03,18,1
"P0151",3,"13:45:19",3.1,-1,0,2.1,2.03,12,1
"P0944",1,"13:45:22",4,-1,1,4,0.03,36,2
"P0960",3,"13:45:31",5,-1,0,4,1.03,18,1
"P0972",3,"13:45:25",5,-2,0,3,1.03,18,2
"P0362",3,"13:45:31",2,-1.5,2,2.5,0.45,32,15
"P0151",4,"13:45:36",2.1,-1,2,3.1,1.03,18,1
"P0827",3,"13:45:44",4.9,-0.7,1.4,5.6,1.03,18,7
"P0144",4,"13:46:03",5.2,-2,2.4,5.6,0.23,30,10
"P0804",3,"13:42:09",3,-1,0,2,5.27,10,5
"P1084",4,"13:46:11",4.2,-0.2,0.4,4.4,1.03,18,1
"P0049",3,"13:46:12",8.9,-1.9,1.2,8.2,1.04,32,19
"P0642",3,"13:46:14",8,-2,4,10,1.03,18,2
"P0136",3,"13:43:34",4,-1,2,5,1.03,18,1
"P0063",2,"13:46:18",3.2,-1,2,4.2,1.03,18,1
"P0291",1,"13:46:38",4,-1,0,3,0.78,24,2
"P0926",1,"13:46:32",4,-0.2,0.6,4.4,2.03,12,1
"P0695",1,"13:46:37",4,-1,2,5,1.03,18,1
"P0972",4,"13:46:28",3,-2,0,1,8.53,19,2
"P0944",2,"13:46:43",4,-0.5,0,3.5,1.03,18,1
"P0827",4,"13:46:50",5.6,-0.6,0.4,5.4,0.58,27,6
"P0926",2,"13:46:51",4.4,-0.2,0,4.2,2.03,12,1
"P0291",2,"13:47:01",3,-0.5,1.5,4,2.03,12,1
"P0926",3,"13:47:03",4.2,-0.2,0,4,2.03,12,1
"P0144",5,"13:47:07",5.6,-2,2.4,6,0.23,30,10
"P0804",4,"13:43:14",2,-2,0,0,1.03,18,2
"P0362",4,"13:47:07",2.5,-1.5,1,2,0.5,29,15
"P0291",3,"13:47:25",4,-1,1.5,4.5,1.03,20,2
"P0049",4,"13:47:16",8.2,-1.2,0,7,2.4,11,12
"P0926",4,"13:47:20",4,-0.4,0,3.6,2.03,12,2
"P0063",3,"13:47:22",4.2,-1,0,3.2,1.03,18,1
"P1084",5,"13:47:22",4.4,-0.2,0.4,4.6,1.03,18,1
"P0926",5,"13:47:33",3.6,-0.4,1.2,4.4,2.03,12,2
"P0291",4,"13:47:43",4.5,-0.5,0,4,2.03,12,1
"P1155",1,"13:47:39",4,-0.1,0.2,4.1,1.03,18,1
"P0972",5,"13:47:32",1,-1,2,2,1.03,18,1
"P0944",3,"13:47:54",3.5,-0.5,0,3,1.03,18,1
"P1155",2,"13:47:55",4.1,-0.1,0,4,1.03,18,1
"P0926",6,"13:47:56",4.4,-0.2,0.6,4.8,2.03,12,1
"P0827",5,"13:47:59",5.4,-0.4,0.4,5.4,0.53,27,4
"P1155",3,"13:48:10",4,-0.2,0.4,4.2,1.03,18,2
"P0926",7,"13:48:13",4.8,-0.2,0,4.6,2.03,12,1
"P0362",5,"13:48:16",2,-2,4.4,4.4,0.43,36,20
"P0619",1,"13:48:24",4,-0.1,0.2,4.1,1.03,18,1
"P1155",4,"13:48:25",4.2,-0.1,0,4.1,1.03,18,1
"P0926",8,"13:48:26",4.6,-0.2,0,4.4,2.03,12,1
"P0291",5,"13:48:40",4,-1,1,4,9.53,18,2
"P0732",1,"13:48:36",4,-0.4,0.9,4.5,1.28,16,4
"P0049",5,"13:48:36",7,-2,0.2,5.2,0.89,32,20
"P1155",5,"13:48:36",4.1,-0.2,0,3.9,1.03,18,2
"P0926",9,"13:48:37",4.4,-0.2,0.6,4.8,2.03,12,1
"P0063",4,"13:48:40",3.2,-1,0,2.2,1.03,18,1
"P0972",6,"13:48:35",2,-2,0,0,2.03,12,2
"P0619",2,"13:48:48",4.1,-0.1,0.2,4.2,1.03,18,1
"P0722",1,"13:48:54",4,-0.5,0,3.5,35.03,1,1
"P1155",6,"13:48:55",3.9,-0.3,0.6,4.2,1.03,18,3
"P0944",4,"13:48:59",3,-0.5,1,3.5,1.03,18,1
"P0230",1,"13:49:02",4,-1,3.6,6.6,4.07,8,10
"P0827",6,"13:49:03",5.4,-0.7,1.4,6.1,1.03,18,7
"P0926",10,"13:49:06",4.8,-0.2,0,4.6,2.03,12,1
"P0842",27,"13:49:12",4.9,-0.3,0.6,5.2,1.03,18,3
"P1155",7,"13:49:13",4.2,-0.1,0.2,4.3,1.03,18,1
"P0722",2,"13:49:14",3.5,-0.1,0,3.4,35.03,1,1
"P0926",11,"13:49:18",4.6,-0.2,0.6,5,2.03,12,1
"P0291",6,"13:49:31",4,-0.5,1,4.5,1.03,18,1
"P0619",3,"13:49:24",4.2,-0.1,0,4.1,1.03,18,1
"P0362",6,"13:49:20",4.4,-2,0,2.4,0.9,27,20
"P0732",2,"13:49:32",4.5,-2,4.5,7,1.28,16,4
"P0926",12,"13:49:31",5,-0.2,0,4.8,2.03,12,1
"P0049",6,"13:49:39",5.2,-1.2,0.2,4.2,1.93,24,12
"P0926",13,"13:49:48",4.8,-0.6,1.8,6,2.03,12,3
"P0063",5,"13:49:49",2.2,-1,2,3.2,1.03,18,1
"P0230",2,"13:49:52",6.6,-1.6,0,5,2.12,13,16
"P0291",7,"13:50:01",4.5,-1.5,0,3,1.92,20,3
"P1155",8,"13:49:54",4.3,-0.1,0,4.2,1.03,18,1
"P0619",4,"13:49:58",4.1,-0.2,0,3.9,1.03,18,1
"P0926",14,"13:50:01",6,-0.2,0,5.8,2.03,12,1
"P0944",5,"13:50:03",3.5,-0.5,0,3,1.03,18,1
"P1155",9,"13:50:06",4.2,-0.2,0.4,4.4,1.03,18,2
"P0827",7,"13:50:07",6.1,-1,0,5.1,0.58,26,10
"P0926",15,"13:50:12",5.8,-0.2,0,5.6,2.03,12,1
"P1084",6,"13:50:14",4.6,-0.5,1,5.1,1.03,18,1
"P1155",10,"13:50:16",4.4,-0.1,0.2,4.5,1.03,18,1
"P0059",1,"13:50:21",4,-2,2,4,0.53,27,2
"P0926",16,"13:50:24",5.6,-0.4,1.2,6.4,2.03,12,2
"P0842",28,"13:50:34",5.2,-0.1,0.2,5.3,1.03,18,1
"P0926",17,"13:50:39",6.4,-0.2,0,6.2,2.03,12,1
"P0049",7,"13:50:41",4.2,-0.2,0,4,35.03,1,2
"P0362",7,"13:50:36",2.4,-2,1,1.4,0.33,35,20
"P0291",8,"13:50:55",3,-1,1,3,1.53,21,2
"P0926",18,"13:50:49",6.2,-0.2,0,6,2.03,12,1
"P1155",11,"13:50:50",4.5,-0.1,0,4.4,1.03,18,1
"P0063",6,"13:50:54",3.2,-1.5,1,2.7,0.14,36,3
"P1155",12,"13:51:01",4.4,-0.2,0.4,4.6,1.03,18,2
"P0926",19,"13:51:01",6,-0.6,1.8,7.2,2.03,12,3
"P0827",8,"13:51:15",5.1,-0.6,1.2,5.7,1.03,18,6
"P0926",20,"13:51:18",7.2,-0.2,0,7,2.03,12,1
"P0059",2,"13:51:25",4,-1.2,0,2.8,1.42,19,6
"P0926",21,"13:51:28",7,-0.2,0,6.8,2.03,12,1
"P1084",7,"13:51:30",5.1,-0.5,1,5.6,1.03,18,1
"P0926",22,"13:51:39",6.8,-0.4,0,6.4,2.03,12,2
"P0362",8,"13:51:39",1.4,-1.4,0,0,0.57,28,14
"P0926",23,"13:51:51",6.4,-0.6,0,5.8,2.03,12,3
"P1155",13,"13:51:59",4.6,-0.1,0.2,4.7,1.03,18,1
"P0926",24,"13:52:01",5.8,-0.2,0,5.6,2.03,12,1
"P0063",7,"13:52:08",2.7,-0.9,1.9,3.7,0.55,30,3
"P0842",29,"13:52:09",5.3,-0.1,0,5.2,1.03,18,1
"P1155",14,"13:52:10",4.7,-0.1,0,4.6,1.03,18,1
"P0926",25,"13:52:12",5.6,-0.4,0,5.2,2.03,12,2
"P1142",1,"13:52:14",4,-2,0,2,0.87,20,20
"P1155",15,"13:52:21",4.6,-0.2,0,4.4,1.03,18,2
"P0619",5,"13:52:23",3.9,-0.3,0.6,4.2,1.03,18,2
"P0926",26,"13:52:24",5.2,-0.2,0,5,2.03,12,1
"P0291",9,"13:52:38",3,-0.5,0,2.5,2.03,12,1
"P0827",9,"13:52:32",5.7,-0.5,1,6.2,1.03,18,5
"P0926",27,"13:52:34",5,-0.2,0.6,5.4,2.03,12,1
"P0619",6,"13:52:36",4.2,-0.1,0.2,4.3,1.03,18,1
"P1155",16,"13:52:37",4.4,-0.4,0.8,4.8,1.03,18,4
"P1084",8,"13:52:44",5.6,-0.5,0,5.1,1.03,18,1
"P0926",28,"13:52:47",5.4,-0.2,0.6,5.8,2.03,12,1
"P1155",17,"13:52:48",4.8,-0.1,0.2,4.9,1.03,18,1
"P0291",10,"13:52:58",2.5,-0.5,1,3,1.03,18,1
"P0619",7,"13:52:52",4.3,-0.1,0,4.2,1.03,18,1
"P0951",1,"13:52:55",4,-0.1,0.2,4.1,1.03,18,1
"P0059",3,"13:52:55",2.8,-1.8,2,3,1.03,22,9
"P0926",29,"13:52:58",5.8,-0.2,0,5.6,2.03,12,1
"P1155",18,"13:52:59",4.9,-0.1,0,4.8,1.03,18,1
"P0619",8,"13:53:05",4.2,-0.2,0.4,4.4,1.03,18,1
"P0291",11,"13:53:16",3,-0.5,0,2.5,1.03,18,1
"P0926",30,"13:53:08",5.6,-0.2,0,5.4,2.03,12,1
"P1155",19,"13:53:11",4.8,-0.2,0.4,5,1.03,18,2
"P0951",2,"13:53:11",4.1,-0.1,0.2,4.2,1.03,18,1
"P0926",31,"13:53:18",5.4,-0.2,0,5.2,2.03,12,1
"P0619",9,"13:53:20",4.4,-0.1,0,4.3,1.03,18,1
